index,video,true_label,pred,conf,match,error
0,data/wlasl_preprocessed/videos_roi/00639.mp4,0,11,0.02429627627134323,False,
1,data/wlasl_preprocessed/videos_roi/00624.mp4,0,27,0.03376837819814682,False,
2,data/wlasl_preprocessed/videos_roi/00632.mp4,0,394,0.04929748922586441,False,
3,data/wlasl_preprocessed/videos_roi/00623.mp4,0,493,0.022818442434072495,False,
4,data/wlasl_preprocessed/videos_roi/65009.mp4,0,261,0.029635854065418243,False,
5,data/wlasl_preprocessed/videos_roi/00628.mp4,0,493,0.08060649037361145,False,
6,data/wlasl_preprocessed/videos_roi/00631.mp4,0,643,0.06904146075248718,False,
7,data/wlasl_preprocessed/videos_roi/00629.mp4,0,151,0.03395876660943031,False,
8,data/wlasl_preprocessed/videos_roi/00633.mp4,0,226,0.057902343571186066,False,
9,data/wlasl_preprocessed/videos_roi/03001.mp4,1,151,0.026392878964543343,False,
10,data/wlasl_preprocessed/videos_roi/03008.mp4,1,644,0.04330763965845108,False,
11,data/wlasl_preprocessed/videos_roi/03000.mp4,1,644,0.030639832839369774,False,
12,data/wlasl_preprocessed/videos_roi/65085.mp4,1,493,0.030427144840359688,False,
13,data/wlasl_preprocessed/videos_roi/03002.mp4,1,124,0.02881499007344246,False,
14,data/wlasl_preprocessed/videos_roi/03005.mp4,1,643,0.03861187770962715,False,
15,data/wlasl_preprocessed/videos_roi/03003.mp4,1,628,0.04851815104484558,False,
16,data/wlasl_preprocessed/videos_roi/65084.mp4,1,151,0.054633695632219315,False,
17,data/wlasl_preprocessed/videos_roi/03055.mp4,2,394,0.16579872369766235,False,
18,data/wlasl_preprocessed/videos_roi/03056.mp4,2,617,0.049993593245744705,False,
19,data/wlasl_preprocessed/videos_roi/03063.mp4,2,261,0.026752084493637085,False,
