index,video,true_label,pred,conf,match,error
0,data/wlasl_preprocessed/videos_roi/00639.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
1,data/wlasl_preprocessed/videos_roi/00624.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
2,data/wlasl_preprocessed/videos_roi/00632.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
3,data/wlasl_preprocessed/videos_roi/00623.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
4,data/wlasl_preprocessed/videos_roi/65009.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
5,data/wlasl_preprocessed/videos_roi/00628.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
6,data/wlasl_preprocessed/videos_roi/00631.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
7,data/wlasl_preprocessed/videos_roi/00629.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
8,data/wlasl_preprocessed/videos_roi/00633.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
9,data/wlasl_preprocessed/videos_roi/03001.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
10,data/wlasl_preprocessed/videos_roi/03008.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
11,data/wlasl_preprocessed/videos_roi/03000.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
12,data/wlasl_preprocessed/videos_roi/65085.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
13,data/wlasl_preprocessed/videos_roi/03002.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
14,data/wlasl_preprocessed/videos_roi/03005.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
15,data/wlasl_preprocessed/videos_roi/03003.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
16,data/wlasl_preprocessed/videos_roi/65084.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
17,data/wlasl_preprocessed/videos_roi/03055.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
18,data/wlasl_preprocessed/videos_roi/03056.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
19,data/wlasl_preprocessed/videos_roi/03063.mp4,,,0.0,False,'Tensor' object has no attribute 'asnumpy'
